2025-06-17 16:22:53 | ERROR | app.api.endpoints.detection:detect_deepfake:193 | Inference error: Inference failed for model: image
2025-06-17 16:22:53 | ERROR | app.api.endpoints.detection:detect_deepfake:193 | Inference error: Inference failed for model: image
2025-06-17 16:22:53 | ERROR | app.core.exceptions:http_exception_handler:72 | HTTPException: Inference failed for model: image
2025-06-17 16:22:53 | ERROR | app.core.exceptions:http_exception_handler:72 | HTTPException: Inference failed for model: image
2025-06-17 16:22:53 | INFO | main:shutdown_event:93 | Shutting down Deepfake Detection API...
2025-06-17 16:22:53 | INFO | main:shutdown_event:93 | Shutting down Deepfake Detection API...
2025-06-17 16:23:20 | INFO | main:startup_event:80 | Starting Deepfake Detection API...
2025-06-17 16:23:20 | INFO | main:startup_event:80 | Starting Deepfake Detection API...
2025-06-17 16:23:20 | INFO | main:startup_event:88 | Application startup complete
2025-06-17 16:23:20 | INFO | main:startup_event:88 | Application startup complete
2025-06-17 16:23:27 | INFO | app.models.base_detector:_get_device:38 | GPU check skipped (torch disabled). Reporting 'gpu' if ENABLE_GPU is true.
2025-06-17 16:23:27 | INFO | app.models.base_detector:_get_device:38 | GPU check skipped (torch disabled). Reporting 'gpu' if ENABLE_GPU is true.
2025-06-17 16:23:27 | WARNING | app.models.image_detector:__init__:90 | Image detector determined to be NON-functional (cv2 or torch unavailable).
2025-06-17 16:23:27 | WARNING | app.models.image_detector:__init__:90 | Image detector determined to be NON-functional (cv2 or torch unavailable).
2025-06-17 16:23:27 | ERROR | app.api.endpoints.detection:detect_deepfake:199 | Unexpected error during detection:
2025-06-17 16:23:27 | ERROR | app.api.endpoints.detection:detect_deepfake:199 | Unexpected error during detection:
2025-06-17 16:23:27 | ERROR | app.core.exceptions:http_exception_handler:72 | HTTPException: Internal server error during detection
2025-06-17 16:23:27 | ERROR | app.core.exceptions:http_exception_handler:72 | HTTPException: Internal server error during detection
2025-06-17 16:23:27 | INFO | main:shutdown_event:93 | Shutting down Deepfake Detection API...
2025-06-17 16:23:27 | INFO | main:shutdown_event:93 | Shutting down Deepfake Detection API...
2025-06-17 16:23:56 | INFO | main:startup_event:80 | Starting Deepfake Detection API...
2025-06-17 16:23:56 | INFO | main:startup_event:80 | Starting Deepfake Detection API...
2025-06-17 16:23:56 | INFO | main:startup_event:88 | Application startup complete
2025-06-17 16:23:56 | INFO | main:startup_event:88 | Application startup complete
2025-06-17 16:24:00 | INFO | app.models.base_detector:_get_device:38 | GPU check skipped (torch disabled). Reporting 'gpu' if ENABLE_GPU is true.
2025-06-17 16:24:00 | INFO | app.models.base_detector:_get_device:38 | GPU check skipped (torch disabled). Reporting 'gpu' if ENABLE_GPU is true.
2025-06-17 16:24:01 | WARNING | app.models.image_detector:__init__:90 | Image detector determined to be NON-functional (cv2 or torch unavailable).
2025-06-17 16:24:01 | WARNING | app.models.image_detector:__init__:90 | Image detector determined to be NON-functional (cv2 or torch unavailable).
2025-06-17 16:24:01 | ERROR | app.core.exceptions:http_exception_handler:72 | HTTPException: Image deepfake detection is currently unavailable due to missing dependencies.
2025-06-17 16:24:01 | ERROR | app.core.exceptions:http_exception_handler:72 | HTTPException: Image deepfake detection is currently unavailable due to missing dependencies.
2025-06-17 16:24:01 | INFO | main:shutdown_event:93 | Shutting down Deepfake Detection API...
2025-06-17 16:24:01 | INFO | main:shutdown_event:93 | Shutting down Deepfake Detection API...
